Provinsi,Kabupaten/Kota,Kecamatan,Name with Street,Original Name,Street Detail,Full Address Info,Latitude,Longitude
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,"ATM BNI SPBU BIL - ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",ATM BNI SPBU BIL,"ATM · ·V56M+436, Jl. Garuda Lintas Sumatera","ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",-4.1397054,104.1826408
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI PENGGADAIAN - ATM ·V5C8+M6W,ATM BNI PENGGADAIAN,ATM ·V5C8+M6W,ATM ·V5C8+M6W,-4.1282565,104.1655807
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI KANIO SWALAYAN MINIMARKET - (021) 57899999,ATM BNI KANIO SWALAYAN MINIMARKET,(021) 57899999,Bank | (021) 57899999,-4.17357,104.227967
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,Bank | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Sosoh Buay Rayap,ATM BNI SYARIAH - ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM BNI SYARIAH,ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM ·Jl. Kapt. Rahman Hamidi No.14 | Buka 24 jam,-4.1217118,104.1750511
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,Pasar peninjauan - Pusat Perbelanjaan · ·49MH+6FC,Pasar peninjauan,Pusat Perbelanjaan · ·49MH+6FC,Pusat Perbelanjaan · ·49MH+6FC | Buka sekarang,-3.8669468,104.3786362
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,Bank Mandiri Peninjauan - Tutup⋅ Buka Sen pukul 08.00 ·(021) 52997777,Bank Mandiri Peninjauan,Tutup⋅ Buka Sen pukul 08.00 ·(021) 52997777,ATM · ·49HJ+93W | Tutup⋅ Buka Sen pukul 08.00 ·(021) 52997777,-3.8715625,104.3801875
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,Toko Aqil - 0856-6468-8453,Toko Aqil,0856-6468-8453,ATM ·4F78+9JR | 0856-6468-8453,-3.886509,104.4665072
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI AGEN WARUNG VANIA - 0821-7819-3079,ATM BNI AGEN WARUNG VANIA,0821-7819-3079,"ATM ·5XGC+WW8, Danau Ranau | 0821-7819-3079",-4.8227186,103.9723268
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI - ATM ·W9J5+747,ATM BNI,ATM ·W9J5+747,ATM ·W9J5+747,-4.06933,104.3578067
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,"ATM MINI BNI - Bank ·PF32+8V7, Jl. Trantang Sakti",ATM MINI BNI,"Bank ·PF32+8V7, Jl. Trantang Sakti","Bank ·PF32+8V7, Jl. Trantang Sakti",-4.2967058,104.4521701
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,ATM | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,Bank BRI ATM - UNIT BRI SINAR PENIJAUAN BATURAJA - ATM ·Jl. Poros Batumarta XII No.13,Bank BRI ATM - UNIT BRI SINAR PENIJAUAN BATURAJA,ATM ·Jl. Poros Batumarta XII No.13,ATM ·Jl. Poros Batumarta XII No.13 | Tutup⋅ Buka Sen pukul 08.00 ·(021) 14017,-3.9407303,104.3951642
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,Bni Atm,Bni Atm,,,-4.0556093,104.2203847
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI SPBU CIK UTI - Buka 24 jam,ATM BNI SPBU CIK UTI,Buka 24 jam,ATM ·M8QJ+PVF | Buka 24 jam,-4.3106911,104.3321638
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI KANIO SWALAYAN MINIMARKET - (021) 57899999,ATM BNI KANIO SWALAYAN MINIMARKET,(021) 57899999,Bank | (021) 57899999,-4.17357,104.227967
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,MI AZHARANI - Sekolah ·49MH+XXQ,MI AZHARANI,Sekolah ·49MH+XXQ,Sekolah ·49MH+XXQ,-3.8650361,104.3799765
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI STIE TRISNA NEGARA - Buka 24 jam,ATM BNI STIE TRISNA NEGARA,Buka 24 jam,ATM ·VJRR+VHC | Buka 24 jam,-4.1078207,104.641386
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,Agen BNI Rani - ATM ·Jl. Lintas Sumatra,Agen BNI Rani,ATM ·Jl. Lintas Sumatra,ATM ·Jl. Lintas Sumatra,-3.4695415,104.8125374
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,"Bank BNI Baturaja - Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur",Bank BNI Baturaja,"Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur","Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur | Tutup⋅ Buka Sen pukul 08.00",-4.122942,104.1685814
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,"ATM BNI SPBU Kotabaru - ATM · ·M983+VRQ, Jl. Lintas Sumatera KM 4, Matapura, Jl. Pertanian",ATM BNI SPBU Kotabaru,"ATM · ·M983+VRQ, Jl. Lintas Sumatera KM 4, Matapura, Jl. Pertanian","ATM · ·M983+VRQ, Jl. Lintas Sumatera KM 4, Matapura, Jl. Pertanian | Buka sekarang ·(021) 57899999",-4.3321147,104.3507014
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,"ATM BNI SPBU Kotabaru - ATM · ·M983+VRQ, Jl. Lintas Sumatera KM 4, Matapura, Jl. Pertanian",ATM BNI SPBU Kotabaru,"ATM · ·M983+VRQ, Jl. Lintas Sumatera KM 4, Matapura, Jl. Pertanian","ATM · ·M983+VRQ, Jl. Lintas Sumatera KM 4, Matapura, Jl. Pertanian | Buka sekarang ·(021) 57899999",-4.3321147,104.3507014
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,SD Negeri 155 OKU - 0813-6760-4499,SD Negeri 155 OKU,0813-6760-4499,Sekolah · ·28Q7+5X3 | 0813-6760-4499,-3.9621092,104.3149188
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Peninjauan,AGEN BNI 46 INDRA CELL - ATM ·No.11,AGEN BNI 46 INDRA CELL,ATM ·No.11,ATM ·No.11 | Tutup permanen ·0822-8105-9237,-3.9857604,104.3596149
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,ATM BNI PENGGADAIAN - ATM ·V5C8+M6W,ATM BNI PENGGADAIAN,ATM ·V5C8+M6W,ATM ·V5C8+M6W,-4.1282565,104.1655807
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,"Bank BNI Baturaja - Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur",Bank BNI Baturaja,"Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur","Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur | Tutup⋅ Buka Sen pukul 08.00",-4.122942,104.1685814
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,ATM BNI SYARIAH - ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM BNI SYARIAH,ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM ·Jl. Kapt. Rahman Hamidi No.14 | Buka 24 jam,-4.1217118,104.1750511
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,"ATM BNI ALFAMART RYACHUDU - ATM ·V5QF+XXJ, Jl. Lintas Sumatera",ATM BNI ALFAMART RYACHUDU,"ATM ·V5QF+XXJ, Jl. Lintas Sumatera","ATM ·V5QF+XXJ, Jl. Lintas Sumatera",-4.1100429,104.1748924
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Barat,"ATM BNI SPBU BIL - ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",ATM BNI SPBU BIL,"ATM · ·V56M+436, Jl. Garuda Lintas Sumatera","ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",-4.1397054,104.1826408
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,ATM | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,"Bank BNI Baturaja - Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur",Bank BNI Baturaja,"Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur","Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur | Tutup⋅ Buka Sen pukul 08.00",-4.122942,104.1685814
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI PENGGADAIAN - ATM ·V5C8+M6W,ATM BNI PENGGADAIAN,ATM ·V5C8+M6W,ATM ·V5C8+M6W,-4.1282565,104.1655807
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI SYARIAH - ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM BNI SYARIAH,ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM ·Jl. Kapt. Rahman Hamidi No.14 | Buka 24 jam,-4.1217118,104.1750511
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,ATM BNI KANIO SWALAYAN MINIMARKET - (021) 57899999,ATM BNI KANIO SWALAYAN MINIMARKET,(021) 57899999,Bank | (021) 57899999,-4.17357,104.227967
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,"ATM BNI SPBU BIL - ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",ATM BNI SPBU BIL,"ATM · ·V56M+436, Jl. Garuda Lintas Sumatera","ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",-4.1397054,104.1826408
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,"ATM BNI ALFAMART RYACHUDU - ATM ·V5QF+XXJ, Jl. Lintas Sumatera",ATM BNI ALFAMART RYACHUDU,"ATM ·V5QF+XXJ, Jl. Lintas Sumatera","ATM ·V5QF+XXJ, Jl. Lintas Sumatera",-4.1100429,104.1748924
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,Agen Bni46 - ATM ·Lorong Pakjo Amal No.12,Agen Bni46,ATM ·Lorong Pakjo Amal No.12,ATM ·Lorong Pakjo Amal No.12 | Tutup⋅ Buka Min pukul 09.30,-4.1192963,104.1924973
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Baturaja Timur,Bank Syariah Indonesia KC Baturaja - Bank ·Jl. Kapten Jl. Kapt. Rahman Hamidi No.30 A-B,Bank Syariah Indonesia KC Baturaja,Bank ·Jl. Kapten Jl. Kapt. Rahman Hamidi No.30 A-B,Bank ·Jl. Kapten Jl. Kapt. Rahman Hamidi No.30 A-B | Tutup⋅ Buka Sen pukul 08.00 ·(0735) 325522,-4.1217722,104.1751379
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,ATM BNI PENGGADAIAN - ATM ·V5C8+M6W,ATM BNI PENGGADAIAN,ATM ·V5C8+M6W,ATM ·V5C8+M6W,-4.1282565,104.1655807
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,"Bank Sumsel Babel - ATM 019 - ATM ·X28H+8JW, JL. Jenderal Ahmad Yani-Baturaja",Bank Sumsel Babel - ATM 019,"ATM ·X28H+8JW, JL. Jenderal Ahmad Yani-Baturaja","ATM ·X28H+8JW, JL. Jenderal Ahmad Yani-Baturaja | Buka sekarang ·(0711) 5228080",-4.034138,104.029083
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,"ATM BNI SPBU BIL - ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",ATM BNI SPBU BIL,"ATM · ·V56M+436, Jl. Garuda Lintas Sumatera","ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",-4.1397054,104.1826408
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,"ATM BNI ALFAMART RYACHUDU - ATM ·V5QF+XXJ, Jl. Lintas Sumatera",ATM BNI ALFAMART RYACHUDU,"ATM ·V5QF+XXJ, Jl. Lintas Sumatera","ATM ·V5QF+XXJ, Jl. Lintas Sumatera",-4.1100429,104.1748924
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Semidang Aji,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,ATM | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,SPBU Simpang Lubuk Batang - Buka 24 jam,SPBU Simpang Lubuk Batang,Buka 24 jam,Pom bensin/SPBU ·W6VC+Q52 | Buka 24 jam,-4.0556016,104.2203921
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,Bni Atm,Bni Atm,,,-4.0556093,104.2203847
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,ATM | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,ATM BNI SHOPPING KAYU AGUNG - ATM ·Jl. Letnan Mukhtar Saleh,ATM BNI SHOPPING KAYU AGUNG,ATM ·Jl. Letnan Mukhtar Saleh,ATM ·Jl. Letnan Mukhtar Saleh | Buka 24 jam ·0813-0000-1111,-3.3881268,104.8282305
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,ATM BNI PENGGADAIAN - ATM ·V5C8+M6W,ATM BNI PENGGADAIAN,ATM ·V5C8+M6W,ATM ·V5C8+M6W,-4.1282565,104.1655807
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Batang,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,Bank | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI PENGGADAIAN - ATM ·V5C8+M6W,ATM BNI PENGGADAIAN,ATM ·V5C8+M6W,ATM ·V5C8+M6W,-4.1282565,104.1655807
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,"ATM BNI SPBU BIL - ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",ATM BNI SPBU BIL,"ATM · ·V56M+436, Jl. Garuda Lintas Sumatera","ATM · ·V56M+436, Jl. Garuda Lintas Sumatera",-4.1397054,104.1826408
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI KANIO SWALAYAN MINIMARKET - (021) 57899999,ATM BNI KANIO SWALAYAN MINIMARKET,(021) 57899999,Bank | (021) 57899999,-4.17357,104.227967
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,ATM BNI SYARIAH - ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM BNI SYARIAH,ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM ·Jl. Kapt. Rahman Hamidi No.14 | Buka 24 jam,-4.1217118,104.1750511
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,"ATM BNI ALFAMART RYACHUDU - ATM ·V5QF+XXJ, Jl. Lintas Sumatera",ATM BNI ALFAMART RYACHUDU,"ATM ·V5QF+XXJ, Jl. Lintas Sumatera","ATM ·V5QF+XXJ, Jl. Lintas Sumatera",-4.1100429,104.1748924
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lengkiti,Agen Bni46 - ATM ·Lorong Pakjo Amal No.12,Agen Bni46,ATM ·Lorong Pakjo Amal No.12,ATM ·Lorong Pakjo Amal No.12 | Tutup⋅ Buka Min pukul 09.30,-4.1192963,104.1924973
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI KCU BATURAJA - (021) 57899999,ATM BNI KCU BATURAJA,(021) 57899999,Bank | (021) 57899999,-4.126569,104.213435
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI KANIO SWALAYAN MINIMARKET - (021) 57899999,ATM BNI KANIO SWALAYAN MINIMARKET,(021) 57899999,Bank | (021) 57899999,-4.17357,104.227967
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,BNI ATM GALLERY - ATM ·V5G9+QCQ Bank BNI Cabang,BNI ATM GALLERY,ATM ·V5G9+QCQ Bank BNI Cabang,ATM ·V5G9+QCQ Bank BNI Cabang,-4.1230339,104.1685995
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI - ATM ·W9J5+747,ATM BNI,ATM ·W9J5+747,ATM ·W9J5+747,-4.06933,104.3578067
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI SHOPPING KAYU AGUNG - ATM ·Jl. Letnan Mukhtar Saleh,ATM BNI SHOPPING KAYU AGUNG,ATM ·Jl. Letnan Mukhtar Saleh,ATM ·Jl. Letnan Mukhtar Saleh | Buka 24 jam ·0813-0000-1111,-3.3881268,104.8282305
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI SPBU BATU KUNING - Buka 24 jam ·(021) 57899999,ATM BNI SPBU BATU KUNING,Buka 24 jam ·(021) 57899999,ATM · | Buka 24 jam ·(021) 57899999,-4.1001517,104.1572578
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI SPBU BUKIT INDAH LESTARI - (021) 57899999,ATM BNI SPBU BUKIT INDAH LESTARI,(021) 57899999,Bank | (021) 57899999,-4.1398088,104.1826023
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI SPBU AIR KARANG - ATM · ·Jl. Jend. A Yani,ATM BNI SPBU AIR KARANG,ATM · ·Jl. Jend. A Yani,ATM · ·Jl. Jend. A Yani | Buka sekarang ·(021) 57899999,-4.1306939,104.1777458
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI SYARIAH - ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM BNI SYARIAH,ATM ·Jl. Kapt. Rahman Hamidi No.14,ATM ·Jl. Kapt. Rahman Hamidi No.14 | Buka 24 jam,-4.1217118,104.1750511
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,"Bank BNI Baturaja - Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur",Bank BNI Baturaja,"Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur","Bank · ·Jl. Sersan Zakaria No. 462, Baturaja Lama, Baturaja Timur | Tutup⋅ Buka Sen pukul 08.00",-4.122942,104.1685814
SUMATERA SELATAN,KAB. OGAN KOMERING ULU,Lubuk Raja,ATM BNI PASAR TANJUNG RAJA - Buka sekarang ·(021) 57899999,ATM BNI PASAR TANJUNG RAJA,Buka sekarang ·(021) 57899999,ATM · | Buka sekarang ·(021) 57899999,-3.3367311,104.7743951
